county,precinct,office,district,party,candidate,votes
Indiana,Shelocta,Ballots Cast,,,,24
Indiana,Shelocta,Ballots Cast,,DEM,,3
Indiana,Shelocta,Ballots Cast,,REP,,21
Indiana,Shelocta,Ballots Cast,,NPA,,0
Indiana,Smicksburg,Registered Voters,,,,24
Indiana,Smicksburg,Registered Voters,,DEM,,11
Indiana,Smicksburg,Registered Voters,,REP,,13
Indiana,Smicksburg,Registered Voters,,NPA,,0
Indiana,Smicksburg,Ballots Cast,,,,16
Indiana,Smicksburg,Ballots Cast,,DEM,,8
Indiana,Smicksburg,Ballots Cast,,REP,,8
Indiana,Smicksburg,Ballots Cast,,NPA,,0
Indiana,Washington,Registered Voters,,,,980
Indiana,Washington,Registered Voters,,DEM,,253
Indiana,Washington,Registered Voters,,REP,,727
Indiana,Washington,Registered Voters,,NPA,,0
Indiana,Washington,Ballots Cast,,,,355
Indiana,Washington,Ballots Cast,,DEM,,91
Indiana,Washington,Ballots Cast,,REP,,264
Indiana,Washington,Ballots Cast,,NPA,,0
Indiana,East Wheatfield #1,Registered Voters,,,,782
Indiana,East Wheatfield #1,Registered Voters,,DEM,,337
Indiana,East Wheatfield #1,Registered Voters,,REP,,445
Indiana,East Wheatfield #1,Registered Voters,,NPA,,0
Indiana,East Wheatfield #1,Ballots Cast,,,,313
Indiana,East Wheatfield #1,Ballots Cast,,DEM,,139
Indiana,East Wheatfield #1,Ballots Cast,,REP,,174
Indiana,East Wheatfield #1,Ballots Cast,,NPA,,0
Indiana,East Wheatfield #2,Registered Voters,,,,476
Indiana,East Wheatfield #2,Registered Voters,,DEM,,209
Indiana,East Wheatfield #2,Registered Voters,,REP,,267
Indiana,East Wheatfield #2,Registered Voters,,NPA,,0
Indiana,East Wheatfield #2,Ballots Cast,,,,199
Indiana,East Wheatfield #2,Ballots Cast,,DEM,,80
Indiana,East Wheatfield #2,Ballots Cast,,REP,,119
Indiana,East Wheatfield #2,Ballots Cast,,NPA,,0
Indiana,West Wheatfield #1,Registered Voters,,,,563
Indiana,West Wheatfield #1,Registered Voters,,DEM,,248
Indiana,West Wheatfield #1,Registered Voters,,REP,,315
Indiana,West Wheatfield #1,Registered Voters,,NPA,,0
Indiana,West Wheatfield #1,Ballots Cast,,,,240
Indiana,West Wheatfield #1,Ballots Cast,,DEM,,104
Indiana,West Wheatfield #1,Ballots Cast,,REP,,136
Indiana,West Wheatfield #1,Ballots Cast,,NPA,,0
Indiana,West Wheatfield #2,Registered Voters,,,,600
Indiana,West Wheatfield #2,Registered Voters,,DEM,,222
Indiana,West Wheatfield #2,Registered Voters,,REP,,378
Indiana,West Wheatfield #2,Registered Voters,,NPA,,0
Indiana,West Wheatfield #2,Ballots Cast,,,,249
Indiana,West Wheatfield #2,Ballots Cast,,DEM,,97
Indiana,West Wheatfield #2,Ballots Cast,,REP,,152
Indiana,West Wheatfield #2,Ballots Cast,,NPA,,0
Indiana,White #1,Registered Voters,,,,1275
Indiana,White #1,Registered Voters,,DEM,,483
Indiana,White #1,Registered Voters,,REP,,792
Indiana,White #1,Registered Voters,,NPA,,0
Indiana,White #1,Ballots Cast,,,,557
Indiana,White #1,Ballots Cast,,DEM,,241
Indiana,White #1,Ballots Cast,,REP,,316
Indiana,White #1,Ballots Cast,,NPA,,0
Indiana,White #2,Registered Voters,,,,1823
Indiana,White #2,Registered Voters,,DEM,,752
Indiana,White #2,Registered Voters,,REP,,1071
Indiana,White #2,Registered Voters,,NPA,,0
Indiana,White #2,Ballots Cast,,,,799
Indiana,White #2,Ballots Cast,,DEM,,363
Indiana,White #2,Ballots Cast,,REP,,436
Indiana,White #2,Ballots Cast,,NPA,,0
Indiana,White #3/1,Registered Voters,,,,1129
Indiana,White #3/1,Registered Voters,,DEM,,487
Indiana,White #3/1,Registered Voters,,REP,,642
Indiana,White #3/1,Registered Voters,,NPA,,0
Indiana,White #3/1,Ballots Cast,,,,519
Indiana,White #3/1,Ballots Cast,,DEM,,241
Indiana,White #3/1,Ballots Cast,,REP,,278
Indiana,White #3/1,Ballots Cast,,NPA,,0
Indiana,White #3/2,Registered Voters,,,,1247
Indiana,White #3/2,Registered Voters,,DEM,,575
Indiana,White #3/2,Registered Voters,,REP,,672
Indiana,White #3/2,Registered Voters,,NPA,,0
Indiana,White #3/2,Ballots Cast,,,,503
Indiana,White #3/2,Ballots Cast,,DEM,,251
Indiana,White #3/2,Ballots Cast,,REP,,252
Indiana,White #3/2,Ballots Cast,,NPA,,0
Indiana,White #3/3,Registered Voters,,,,989
Indiana,White #3/3,Registered Voters,,DEM,,510
Indiana,White #3/3,Registered Voters,,REP,,479
Indiana,White #3/3,Registered Voters,,NPA,,0
Indiana,White #3/3,Ballots Cast,,,,369
Indiana,White #3/3,Ballots Cast,,DEM,,214
Indiana,White #3/3,Ballots Cast,,REP,,155
Indiana,White #3/3,Ballots Cast,,NPA,,0
Indiana,White #4-5,Registered Voters,,,,1221
Indiana,White #4-5,Registered Voters,,DEM,,523
Indiana,White #4-5,Registered Voters,,REP,,698
Indiana,White #4-5,Registered Voters,,NPA,,0
Indiana,White #4-5,Ballots Cast,,,,507
Indiana,White #4-5,Ballots Cast,,DEM,,241
Indiana,White #4-5,Ballots Cast,,REP,,266
Indiana,White #4-5,Ballots Cast,,NPA,,0
Indiana,White #6,Registered Voters,,,,814
Indiana,White #6,Registered Voters,,DEM,,323
Indiana,White #6,Registered Voters,,REP,,491
Indiana,White #6,Registered Voters,,NPA,,0
Indiana,White #6,Ballots Cast,,,,420
Indiana,White #6,Ballots Cast,,DEM,,171
Indiana,White #6,Ballots Cast,,REP,,249
Indiana,White #6,Ballots Cast,,NPA,,0
Indiana,Young #1,Registered Voters,,,,487
